품목코드,ITEM CODE,Color/Category,품목명[규격],재고수량,단종여부,도매주문단위,주문제표시,품번,한글명,소요량,재고상태,재고상황,재고상태,카테고리,순서,,상품명,색상번호,색상명,재고,,
02066016,1179.0039,camel,Belle/0039,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0039(신상),camel,🔵,(신상),1179.0039
02066017,1179.0045,mauve,Belle/0045,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0045(신상),mauve,🔵,(신상),1179.0045
02066018,1179.0046,lavender,Belle/0046,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0046(신상),lavender,🔵,(신상),1179.0046
02066019,1179.0068,brown,Belle/0068,16,26 SS,5,,1179,벨,7,2.29 ,여유,🔵,1,4,,벨,1179.0068(신상),brown,🔵,(신상),1179.0068
02066020,1179.0072,seafoam,Belle/0072,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0072(신상),seafoam,🔵,(신상),1179.0072
02066021,1179.0073,emerald,Belle/0073,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0073(신상),emerald,🔵,(신상),1179.0073
02066022,1179.0074,jade,Belle/0074,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0074(신상),jade,🔵,(신상),1179.0074
02066023,1179.0097,light olive,Belle/0097,20,26 SS,5,,1179,벨,7,2.86 ,여유,🔵,1,4,,벨,1179.0097(신상),light olive,🔵,(신상),1179.0097
02066024,1179.0098,dark olive,Belle/0098,10,26 SS,5,,1179,벨,7,1.43 ,양호,🟢,1,4,,벨,1179.0098(신상),dark olive,🟢,(신상),1179.0098
,2091.0002,,FAM 288 컬렉션,#N/A,,,,,,,,#N/A,#N/A,,,,[신상 패턴북],2091.0002,FAM 288 컬렉션,#N/A,,
,2092.0002,,WOOLADDICTS #16,#N/A,,,,,,,,#N/A,#N/A,,,,[신상 패턴북],2092.0002,WOOLADDICTS #16,#N/A,,
,2590.0001,,푼토 90 코튼 트위드,#N/A,,,,,,,,#N/A,#N/A,,,,[신상 패턴북],2590.0001,푼토 90 코튼 트위드,#N/A,,
,2591.0002,,푼토 91 컬러풀,#N/A,,,,,,,,#N/A,#N/A,,,,[신상 패턴북],2591.0002,푼토 91 컬러풀,#N/A,,
,2592.0002,,푼토 92 베이비 코튼,#N/A,,,,,,,,#N/A,#N/A,,,,[신상 패턴북],2592.0002,푼토 92 베이비 코튼,#N/A,,
02205097,1160.0001,aqua/rose/grey/yellow,Fiesta/0001,0,25 SS,5,,1160,피에스타,8,0.00 ,품절,❌,2,1,,피에스타,1160.0001,aqua/rose/grey/yellow,❌,,1160.0001
02205098,1160.0002,light blue/pink/green/orange,Fiesta/0002,9,25 SS,5,,1160,피에스타,8,1.13 ,양호,🟢,2,1,,피에스타,1160.0002,light blue/pink/green/orange,🟢,,1160.0002
02205099,1160.0003,yellow/dark blue/rose/beige,Fiesta/0003,0,25 SS,5,,1160,피에스타,8,0.00 ,품절,❌,2,1,,피에스타,1160.0003,yellow/dark blue/rose/beige,❌,,1160.0003
02205100,1160.0004,turquoise/aqua/grey/salmon,Fiesta/0004,16,25 SS,5,,1160,피에스타,8,2.00 ,양호,🟢,2,1,,피에스타,1160.0004,turquoise/aqua/grey/salmon,🟢,,1160.0004
